S. No.,QUESTIONS,OPTION-A,OPTION-B,OPTION-C,OPTION-D,CORRECT ANSWER,,,,,
1,What is the acceleration due to gravity?,9.8 m/s^2,10.2 m/s^2,12.0 m/s^2,15 m/s^2,A,,,,,
2,What is Newton's second law?,F = ma,W = mg,P = W/t,T = F * r,B,,,,,
3,Define work done by a force.,Force x Distance,Force x Mass,Distance x Time,Power x Time,C,,,,,
4,What is kinetic energy?,Energy due to motion,Energy due to position,Force due to motion,Work per unit time,D,,,,,
5,What is potential energy?,Energy due to position,Energy due to velocity,Energy due to work done,None of the above,A,,,,,
6,State the first law of thermodynamics.,?U = Q - W,PV = nRT,Q = mc?T,W = P?V,B,,,,,
7,What is entropy?,Measure of disorder,Measure of temperature,Degree of freedom,Thermal equilibrium,C,,,,,
8,Define heat capacity.,Amount of heat needed to raise temperature,Amount of substance,Rate of change of temperature,Amount of kinetic energy,D,,,,,
9,What is specific heat?,Heat per unit mass per degree change,Heat per unit volume per degree change,Total internal energy,Temperature per unit mass,A,,,,,
10,What is thermal expansion?,Expansion due to heat,Expansion due to pressure,Expansion due to energy,Expansion with cooling,B,,,,,
11,Define electric current.,Flow of electric charge,Flow of neutrons,Number of protons,Magnetic field,C,,,,,
12,What is Ohm's Law?,V = IR,P = IV,I = V/R,V = P/I,D,,,,,
13,Define magnetic flux.,Product of magnetic field and area,Product of resistance and current,Current per unit area,Field intensity,A,,,,,
14,What is electromagnetic induction?,Production of voltage by changing magnetic field,Production of heat by current,Change in magnetic field,Magnetic dipole,B,,,,,
15,What is Faraday's law?,Law of electromagnetic induction,Law of refraction,Induced electromotive force,Magnetic flux law,C,,,,,
16,Define reflection of light.,Bouncing back of light,Bending of light,Absorption of light,Diffraction of light,D,,,,,
17,What is refraction?,Bending of light,Breaking of light,Reflection of sound,Scattering of light,A,,,,,
18,Define focal length.,Distance from lens center to focal point,Distance between two points,Radius of curvature,Midpoint of lens,B,,,,,
19,What is a concave mirror?,Mirror that converges light,Mirror that diverges light,Lens with no curvature,Curved mirror,C,,,,,
20,What is a convex lens?,Lens that converges light,Lens that diverges light,Lens that neither diverges nor converges,Flat lens,D,,,,,
21,What is an alkane?,Single bonded hydrocarbon,Double bonded hydrocarbon,Unsaturated hydrocarbon,Hydrocarbon chain,A,,,,,
22,Define alkyne.,Triple bonded hydrocarbon,Single bonded hydrocarbon,Hydrocarbon with C=C,Branched hydrocarbon,B,,,,,
23,What is an aromatic compound?,Cyclic compound,Aromatic compound,Organic acid,Benzene ring,C,,,,,
24,Define polymerization.,Formation of polymers,Breaking of polymers,Breaking down of elements,Reaction involving heat,D,,,,,
25,What is an ester?,Organic compound with COOR group,Alcohol group,Compound with OH group,Metal oxide,A,,,,,
26,Define a salt.,Ionic compound,Covalent compound,Hydrogen bond,Non-metal,B,,,,,
27,What is the periodic table?,Chart of elements,Rows of elements,Atomic model,Chemical formula,C,,,,,
28,What is an oxidation state?,State of an element in a compound,Charge of an ion,Valency of atoms,Chemical bonding,D,,,,,
